id	title	description	link	image_link	additional_image_link	condition	availability	price	brand	identifier_exists	item_group_id	google_product_category	shipping
2aaed48a-9353-4f35-bffa-5fa97fcb074d_legacy_xl	101 Roses — XL+	Elegant, vibrant, and impressive, this bouquet of approximately 101 mixed-color roses is designed to make a lasting impression. With its generous size and beautiful blend of colors, it is perfect for birthdays, anniversaries, congratulations, or any occasion that deserves something truly special. — 101 Roses  Price includes VAT.	https://lannabloom.shop/en/catalog/101-mixed-roses	https://cdn.sanity.io/images/moaf1lxq/production/005922ff73faf40b18b76eccc924934e57aec4c0-1108x1477.jpg?w=600	https://cdn.sanity.io/images/moaf1lxq/production/da18831d3f63fbabef3e15dbb747dea6c86697ae-1477x1108.jpg?w=600,https://cdn.sanity.io/images/moaf1lxq/production/8d115937311fee6212f25adcf1151b0d2b02de9d-1108x1477.jpg?w=600,https://cdn.sanity.io/images/moaf1lxq/production/51bec8ae36d19b44297ec3fc29a1b69157818288-1108x1477.jpg?w=600,https://cdn.sanity.io/images/moaf1lxq/production/8604c0655a4777db940e548df5419392713ad8ec-1108x1477.jpg?w=600,https://cdn.sanity.io/images/moaf1lxq/production/5ad1e8d79315981a30c379ded247a3a57965d860-1108x1477.jpg?w=600	new	in_stock	8499.00 THB	Lanna Bloom	no	101-mixed-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
bb91f694-4feb-4c22-90b6-33e3001abe14_legacy_xl	51 Pink Roses — 51 Flowers	A beautiful bouquet of 51 pink roses, arranged in a full and elegant style. Soft in color and graceful in appearance, this bouquet is wrapped neatly with premium paper and finished with a ribbon. It is a lovely choice for expressing affection, admiration, gratitude, and warm feelings. — 51 pink roses, premium wrapping, ribbon. Price includes VAT.	https://lannabloom.shop/en/catalog/51-pink-roses	https://cdn.sanity.io/images/moaf1lxq/production/144bab8be5e02d0dda67db3d75e47ea490a58e18-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/f1988daca21dc5126b23d11c87a5655ad89eb9e3-1024x1536.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/f3e2935d55b81a4ea5b91c3b7ebcb056b8eb2e6a-947x930.jpg?w=600	new	in_stock	5700.00 THB	Lanna Bloom	no	51-pink-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
afe1ba0f-cf4e-4820-afdc-325f5a752289_legacy_xl	51 Red & White Roses  — 51 Flowers	A striking bouquet of 51 roses, arranged in a full and elegant style. Rich in color and timeless in character, this bouquet is wrapped neatly with premium paper and finished with a ribbon. It is a meaningful choice for expressing deep love, romance, and heartfelt feelings. — 51 Red premium wrapping, ribbon. Price includes VAT.	https://lannabloom.shop/en/catalog/51-mix-roses	https://cdn.sanity.io/images/moaf1lxq/production/f605d12621d65f452805733ae9e62a2b6b796526-1024x1536.webp?w=600	https://cdn.sanity.io/images/moaf1lxq/production/3ffbb0b725ec5e45005a54997dcbe517617eb396-1024x1536.webp?w=600	new	in_stock	5700.00 THB	Lanna Bloom	no	51-mix-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
2b6319f2-a807-42c4-8aa0-49831220a637_legacy_xl	51 Red Roses  — 51 Flowers	A striking bouquet of 51 red roses, arranged in a full and elegant style. Rich in color and timeless in character, this bouquet is wrapped neatly with premium paper and finished with a ribbon. It is a meaningful choice for expressing deep love, romance, and heartfelt feelings. — 51 Red roses, premium wrapping, ribbon. Price includes VAT.	https://lannabloom.shop/en/catalog/51-red-roses	https://cdn.sanity.io/images/moaf1lxq/production/92e08bff326c316bc2689dc68f4b5feb31090f30-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/b30ad499b204f398f1b403431bee9970d9593e7f-1024x1536.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/58cbe78ee66580415fb46f58dfcf3935bfc90ab1-1024x1536.png?w=600	new	in_stock	5700.00 THB	Lanna Bloom	no	51-red-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
99c8eca8-9e73-4c22-88c2-01313fa85781_legacy_s	Classic Red Rose Mini — Red Roses	A timeless bouquet of seven roses with delicate baby’s breath, designed in a clean round shape. Perfect for anniversaries, birthdays, or a simple “I’m thinking of you.” Romantic, elegant, and always in style. — 7 roses, baby’s breath (gypsophila), mixed greenery. Price includes VAT.	https://lannabloom.shop/en/catalog/classic-red-rose-mini	https://cdn.sanity.io/images/moaf1lxq/production/7e258b9693d0082636469ab8022c73aeb41957a8-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/22fda418194fe6050f6a4437a7f8b44a8f1be167-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/5e7d98c5fa5e60af6106d10a3d7d8dfc24729472-880x1184.jpg?w=600,https://cdn.sanity.io/images/moaf1lxq/production/30a6090627d4b6c36e3bd856c4f8f0e025c494c1-880x1184.jpg?w=600	new	in_stock	1049.00 THB	Lanna Bloom	no	classic-red-rose-mini	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
f21fed88-0e6a-467a-8ed6-17bda6cd2139_legacy_l	Crimson Rose Bouquet — L +	A bold, romantic rose bouquet arranged in a rounded hand-tied style. Full and eye-catching, balanced with delicate baby’s breath and fresh greenery for a soft finish. Perfect for anniversaries, birthdays, celebrations, or a powerful “I love you.” Classic, elegant, and unforgettable. — Roses (red + optional white mix), baby’s breath (gypsophila), eucalyptus / mixed greenery, seasonal airy filler (optional) Price includes VAT.	https://lannabloom.shop/en/catalog/crimson-rose-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/0d98ffaa3b0fc16d856d3163e8335477e25e675c-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/9308a64ae41f38aa52fa35f7f8b4d6c8ba31af54-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/31022d1da3126c38502cf56491015aafe0b1d788-1488x1994.png?w=600	new	in_stock	2230.00 THB	Lanna Bloom	no	crimson-rose-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
235fcea7-dc18-4605-8c07-783034fd313d_legacy_m	Elegant Classic Mix — A luxurious extra-large white rose bouquet	A classic and elegant mixed bouquet combining bold red, soft pink, and pure white flowers. A balanced composition that suits both formal and emotional occasions. — Red roses White lilies Pink gerbera daisies Ruscus greenery Price includes VAT.	https://lannabloom.shop/en/catalog/elegant-classic-mix	https://cdn.sanity.io/images/moaf1lxq/production/9f4e4a93f0d886900b93e9ca9b9fd3ef65106f1d-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/36e37186ca843e6cc51a84170eb382bce6ce8a46-1024x1536.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/8c83e794ebbcbe0f0361923859fa0b36b32a415e-1024x1536.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/e1ae2cf652875b91c6b5ccbfe971ee79c1a053a0-1024x1536.png?w=600	new	in_stock	2590.00 THB	Lanna Bloom	no	elegant-classic-mix	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
63620ba7-b719-4654-aaa2-3d273f6d4614_legacy_m	Elegant Mix — L+	A soft pastel bouquet arranged in a full, rounded garden style with a fresh and cheerful feeling. The flowers are gently balanced to create a natural and elegant look, combining soft textures and light colors. Wrapped in light blue and white paper with a simple ribbon, the bouquet feels airy, delicate, and joyful, making it a beautiful gift to brighten someone’s day. — Pink roses, blue hydrangea, white carnations, peach carnations, purple statice, green button chrysanthemums, eucalyptus, and seasonal greenery. Price includes VAT.	https://lannabloom.shop/en/catalog/elegant-mix	https://cdn.sanity.io/images/moaf1lxq/production/d36bd29ce13c022804dceb2a2efe75f5852950be-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/5b083506f5c9dcbb5d22bf97b0e663aafa5c9af5-1024x1536.png?w=600	new	in_stock	2200.00 THB	Lanna Bloom	no	elegant-mix	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
c6c32e4c-3d67-45c0-8457-95acacee9346_legacy_l	Elegant Mix Bouquet — L+	A striking rose bouquet in a rounded hand-tied style with a modern, dramatic vibe. Rich, romantic, and beautifully textured with delicate baby’s breath and fresh greenery. Perfect for anniversaries, birthdays, celebrations, or a bold “I love you.” Elegant and unforgettable. — Roses, lilies, carnations, baby’s breath (gypsophila), mixed greenery (eucalyptus / seasonal greens). Price includes VAT.	https://lannabloom.shop/en/catalog/elegant-mix-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/80d1950fd8696b838f7496a15c54f562a105dfe3-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/5e0200524bf307b8d0e9a1a0695df1c676f8fa48-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/ed9883ce379ee221a3a7ea367fe7ac831cb2be70-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/87e65903ed2ff0d818a4c1ce96260d2699001a07-1488x1994.png?w=600	new	in_stock	2230.00 THB	Lanna Bloom	no	elegant-mix-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
732c36ff-8e00-459d-9e93-8978f02533a4_legacy_s	Gentle Pink Rose Bouquet — 7 Pink Roses	A soft whisper of roses, petals kissed by dawn's gentle light, blooming with slow, tender elegance. Each flower holds its own silent tale—some modestly half-hidden, others softly welcoming—marked by the subtle, honest traces that only real beauty can show. — 7 soft pink Thai roses + baby's breath in lavender, wrap with bow Price includes VAT.	https://lannabloom.shop/en/catalog/gentle-pink-rose-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/3f377a9e2ba3e00f89526d4ed05b9b4fa2c35cee-784x1168.jpg?w=600	https://cdn.sanity.io/images/moaf1lxq/production/552cadc702f362debff45cd7d5913b592f6199e3-760x1024.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/63c71bd3c9c55d8d49d172d0356d54013371e39f-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/40d8d916eef01c673cc283b7b3587bc1a02bf1f1-784x1168.webp?w=600	new	in_stock	1049.00 THB	Lanna Bloom	no	gentle-pink-rose-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
43ba59b2-3cdd-439e-817a-b2e9aa702103_legacy_s	Gentle Rose Bouquet — Roses	A soft and romantic rounded bouquet, designed in a classic hand-tied style. Balanced, airy, and elegant—perfect for birthdays, anniversaries, congratulations, or simply sending warm feelings. Light texture, clean look, and timeless charm. — Roses, baby’s breath (gypsophila), mixed greenery. Price includes VAT.	https://lannabloom.shop/en/catalog/gentle-rose-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/c0e6b8b5c6ac0cb15b67ce591193f749e56e7e87-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/94c7c9ab0f72be961400812adaf8db690375dba6-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/b19fe73bc00bd60aaa4a41d58be084b6cdcbcc47-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/41ab0fc743b76ed77e9a95e7a9d062c36877139c-1488x1994.png?w=600	new	in_stock	1049.00 THB	Lanna Bloom	no	gentle-rose-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
55af5544-3625-4309-97a8-3f08cbb7c423_legacy_m	Pastel Dream Bouquet — M+	A soft, pastel-toned bouquet arranged in a rounded hand-tied style. Light, airy, and beautifully balanced with gentle textures and fresh greenery—perfect for birthdays, anniversaries, get-well wishes, congratulations, or simply brightening someone’s day. Sweet, elegant, and timeless. — Roses, gerbera, hydrangea (seasonal), baby’s breath (gypsophila), eucalyptus / mixed greenery. Price includes VAT.	https://lannabloom.shop/en/catalog/pastel-dream-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/f9f5900e4c04995f9bc0811a9f1bb3321dc05ac8-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/1aa88883acc955e9bbbe31c49362be6f3cbd291a-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/96539e2395e6250a3acb454fd2c3c11c24e1a57d-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/834f3be47b209505e04f97fa1a814c8a2fd94bd5-1488x1994.png?w=600	new	in_stock	1780.00 THB	Lanna Bloom	no	pastel-dream-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
77ce6dca-9b2b-4c02-97a6-5efaeb8612a1_legacy_m	Red Rose Romance — Roses	A classic romantic bouquet in a rounded hand-tied style. Lush, elegant, and full of warm feelings—perfect for anniversaries, birthdays, congratulations, or a heartfelt surprise. Timeless and always meaningful. — Roses, baby’s breath (gypsophila), mixed greenery. Price includes VAT.	https://lannabloom.shop/en/catalog/red-rose-romance	https://cdn.sanity.io/images/moaf1lxq/production/87b3150c7a8fceb8e42e104c9dfd994beb70280f-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/b28582fe4c9d4043b1aa3f3b47d9357497ed26fb-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/9438722ee13eb2fa1f0d3f7482274f852e44777d-1488x1994.png?w=600	new	in_stock	1350.00 THB	Lanna Bloom	no	red-rose-romance	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
f26941ed-4610-4895-929a-6772ac1632f0_legacy_s	Red Roses Bouquet — 9 Red Roses	A romantic mono bouquet fresh red roses, symbolizing love and passion. Elegantly arranged by a professional florist and wrapped in premium paper. Perfect for a sweet gesture, birthdays, or a simple romantic surprise. — Red Roses, Brown Sugar Color Wrapping Price includes VAT.	https://lannabloom.shop/en/catalog/red-roses	https://cdn.sanity.io/images/moaf1lxq/production/f1846ff09651eea9fba239c00c4d2a889e89cce8-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/79e6a469eb97df0d971fd4d9eb12065c2f905d41-1024x1536.png?w=600	new	in_stock	1290.00 THB	Lanna Bloom	no	red-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
f26941ed-4610-4895-929a-6772ac1632f0_legacy_m	Red Roses Bouquet — 15 Red Roses	A romantic mono bouquet fresh red roses, symbolizing love and passion. Elegantly arranged by a professional florist and wrapped in premium paper. Perfect for a sweet gesture, birthdays, or a simple romantic surprise. — Red Roses, Brown Sugar Color Wrapping Price includes VAT.	https://lannabloom.shop/en/catalog/red-roses	https://cdn.sanity.io/images/moaf1lxq/production/f1846ff09651eea9fba239c00c4d2a889e89cce8-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/79e6a469eb97df0d971fd4d9eb12065c2f905d41-1024x1536.png?w=600	new	in_stock	1990.00 THB	Lanna Bloom	no	red-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
f26941ed-4610-4895-929a-6772ac1632f0_legacy_l	Red Roses Bouquet — 21 Red Roses	A romantic mono bouquet fresh red roses, symbolizing love and passion. Elegantly arranged by a professional florist and wrapped in premium paper. Perfect for a sweet gesture, birthdays, or a simple romantic surprise. — Red Roses, Brown Sugar Color Wrapping Price includes VAT.	https://lannabloom.shop/en/catalog/red-roses	https://cdn.sanity.io/images/moaf1lxq/production/f1846ff09651eea9fba239c00c4d2a889e89cce8-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/79e6a469eb97df0d971fd4d9eb12065c2f905d41-1024x1536.png?w=600	new	in_stock	2690.00 THB	Lanna Bloom	no	red-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
f26941ed-4610-4895-929a-6772ac1632f0_legacy_xl	Red Roses Bouquet — 35 Red Roses	A romantic mono bouquet fresh red roses, symbolizing love and passion. Elegantly arranged by a professional florist and wrapped in premium paper. Perfect for a sweet gesture, birthdays, or a simple romantic surprise. — Red Roses, Brown Sugar Color Wrapping Price includes VAT.	https://lannabloom.shop/en/catalog/red-roses	https://cdn.sanity.io/images/moaf1lxq/production/f1846ff09651eea9fba239c00c4d2a889e89cce8-1024x1536.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/79e6a469eb97df0d971fd4d9eb12065c2f905d41-1024x1536.png?w=600	new	in_stock	3990.00 THB	Lanna Bloom	no	red-roses	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
87814075-94a5-4f72-9960-03e26ce2c71c_legacy_m	Red Round Rose Bouquet — Size M	A bold and romantic rose bouquet arranged with delicate filler flowers and fresh greenery for a full, elegant look. Wrapped with premium paper and finished with a ribbon — perfect for anniversaries, birthdays, congratulations, or a meaningful “I love you.” — Fresh roses  Filler flowers (seasonal, e.g., baby’s breath)  Greenery / foliage (seasonal)  Premium wrapping + ribbon Price includes VAT.	https://lannabloom.shop/en/catalog/classic-red-rose-bouquet	https://cdn.sanity.io/images/moaf1lxq/production/17f9147dfb5074c466909d43f0ea8dfd95f9c64f-1488x1994.png?w=600	https://cdn.sanity.io/images/moaf1lxq/production/3c93ba3436e5a9c26485139ecc7661c3dfa5a28a-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/74d63b52543523b32b68aad74e3f600d53d5b5f7-1488x1994.png?w=600,https://cdn.sanity.io/images/moaf1lxq/production/1a520072798c35666431d4080ab199a83ba65994-1488x1994.png?w=600	new	in_stock	1950.00 THB	Lanna Bloom	no	classic-red-rose-bouquet	Home & Garden > Plants > Flowers	TH:TH-50:Standard:350.00 THB
